school_name,grade,average_math_level,average_ela_level,district,lat,long,city,zip,grade_low,grade_high,econ_need_index,perc_ell,perc_asian,perc_black,perc_hispanic,perc_white,perc_attendance,perc_chron_absent,perc_rigorous_instruction,perc_collaborative_teachers,perc_supportive_environment,perc_effective_leadership,perc_community_ties,perc_trust,grades,n_grades,in_manhattan
Earth School,4,2.4615384615384617,2.8333333333333335,1,40.72313,-73.981597,MANHATTAN,10009,PK,05,0.448,6,7,13,35,37,94,15,96,99,96,98,96,98,"PK,0K,01,02,03,04,05",7,Yes
Earth School,5,2.736842105263158,2.75,1,40.72313,-73.981597,MANHATTAN,10009,PK,05,0.448,6,7,13,35,37,94,15,96,99,96,98,96,98,"PK,0K,01,02,03,04,05",7,Yes
School for Global Leaders,6,2.238095238095238,1.9166666666666667,1,40.72004,-73.986038,MANHATTAN,10002,06,08,0.764,8,15,22,58,2,92,27,79,87,82,77,76,88,"06,07,08",3,Yes
School for Global Leaders,7,2.0869565217391304,1.9275362318840579,1,40.72004,-73.986038,MANHATTAN,10002,06,08,0.764,8,15,22,58,2,92,27,79,87,82,77,76,88,"06,07,08",3,Yes
School for Global Leaders,8,2.0405405405405403,2.2465753424657535,1,40.72004,-73.986038,MANHATTAN,10002,06,08,0.764,8,15,22,58,2,92,27,79,87,82,77,76,88,"06,07,08",3,Yes
East Side Community School,6,2.557142857142857,2.4857142857142858,1,40.729152,-73.982472,MANHATTAN,10009,06,12,0.61,1,11,21,53,12,97,5,92,95,92,96,88,95,"06,07,08,09,10,11,12",7,Yes
East Side Community School,7,2.358974358974359,2.4875,1,40.729152,-73.982472,MANHATTAN,10009,06,12,0.61,1,11,21,53,12,97,5,92,95,92,96,88,95,"06,07,08,09,10,11,12",7,Yes
East Side Community School,8,2.4464285714285716,2.3666666666666667,1,40.729152,-73.982472,MANHATTAN,10009,06,12,0.61,1,11,21,53,12,97,5,92,95,92,96,88,95,"06,07,08,09,10,11,12",7,Yes
"New Explorations into Science, Technology and Math",3,3.81651376146789,3.4454545454545453,1,40.719416,-73.979581,MANHATTAN,10002,0K,12,0.257,0,33,9,11,42,97,3,81,73,85,55,81,74,"0K,01,02,03,04,05,06,07,08,09,10,11,12",13,Yes
"New Explorations into Science, Technology and Math",4,3.789473684210526,3.675438596491228,1,40.719416,-73.979581,MANHATTAN,10002,0K,12,0.257,0,33,9,11,42,97,3,81,73,85,55,81,74,"0K,01,02,03,04,05,06,07,08,09,10,11,12",13,Yes
"New Explorations into Science, Technology and Math",5,3.7981651376146788,3.6605504587155964,1,40.719416,-73.979581,MANHATTAN,10002,0K,12,0.257,0,33,9,11,42,97,3,81,73,85,55,81,74,"0K,01,02,03,04,05,06,07,08,09,10,11,12",13,Yes
"New Explorations into Science, Technology and Math",6,3.8661971830985915,3.556338028169014,1,40.719416,-73.979581,MANHATTAN,10002,0K,12,0.257,0,33,9,11,42,97,3,81,73,85,55,81,74,"0K,01,02,03,04,05,06,07,08,09,10,11,12",13,Yes
"New Explorations into Science, Technology and Math",7,3.638095238095238,3.625,1,40.719416,-73.979581,MANHATTAN,10002,0K,12,0.257,0,33,9,11,42,97,3,81,73,85,55,81,74,"0K,01,02,03,04,05,06,07,08,09,10,11,12",13,Yes
Tompkins Square Middle School,6,2.649484536082474,2.5,1,40.72313,-73.981597,MANHATTAN,10009,06,08,0.597,3,23,16,37,20,96,7,90,89,88,86,83,94,"06,07,08",3,Yes
Tompkins Square Middle School,7,2.3870967741935485,2.7419354838709675,1,40.72313,-73.981597,MANHATTAN,10009,06,08,0.597,3,23,16,37,20,96,7,90,89,88,86,83,94,"06,07,08",3,Yes
Tompkins Square Middle School,8,2.2033898305084745,2.453333333333333,1,40.72313,-73.981597,MANHATTAN,10009,06,08,0.597,3,23,16,37,20,96,7,90,89,88,86,83,94,"06,07,08",3,Yes
P.S. 001 Alfred E. Smith,3,3.1176470588235294,2.6,2,40.71255,-73.997478,MANHATTAN,10038,PK,05,0.769,25,64,12,22,1,95,18,89,91,95,86,87,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 001 Alfred E. Smith,4,2.765625,2.4754098360655736,2,40.71255,-73.997478,MANHATTAN,10038,PK,05,0.769,25,64,12,22,1,95,18,89,91,95,86,87,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 001 Alfred E. Smith,5,2.585714285714286,1.8732394366197183,2,40.71255,-73.997478,MANHATTAN,10038,PK,05,0.769,25,64,12,22,1,95,18,89,91,95,86,87,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 002 Meyer London,3,3.1484375,2.488,2,40.712907,-73.991523,MANHATTAN,10002,PK,05,0.858,36,85,4,9,1,98,6,93,86,94,76,83,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 002 Meyer London,4,3.146788990825688,2.490566037735849,2,40.712907,-73.991523,MANHATTAN,10002,PK,05,0.858,36,85,4,9,1,98,6,93,86,94,76,83,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 002 Meyer London,5,2.8207547169811322,2.269230769230769,2,40.712907,-73.991523,MANHATTAN,10002,PK,05,0.858,36,85,4,9,1,98,6,93,86,94,76,83,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 003 Charrette School,3,3.2666666666666666,2.7523809523809524,2,40.732603,-74.005949,MANHATTAN,10014,PK,05,0.176,4,7,5,12,70,95,13,97,93,97,93,96,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 003 Charrette School,4,3.1468531468531467,3.0211267605633805,2,40.732603,-74.005949,MANHATTAN,10014,PK,05,0.176,4,7,5,12,70,95,13,97,93,97,93,96,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 003 Charrette School,5,3.2033898305084745,2.9344262295081966,2,40.732603,-74.005949,MANHATTAN,10014,PK,05,0.176,4,7,5,12,70,95,13,97,93,97,93,96,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 006 Lillie D. Blake,3,3.5396825396825395,3.24,2,40.777737,-73.960427,MANHATTAN,10028,0K,05,0.101,2,13,2,7,75,96,5,87,90,95,87,92,90,"0K,01,02,03,04,05",6,Yes
P.S. 006 Lillie D. Blake,4,3.436974789915966,3.264957264957265,2,40.777737,-73.960427,MANHATTAN,10028,0K,05,0.101,2,13,2,7,75,96,5,87,90,95,87,92,90,"0K,01,02,03,04,05",6,Yes
P.S. 006 Lillie D. Blake,5,3.272727272727273,3.256880733944954,2,40.777737,-73.960427,MANHATTAN,10028,0K,05,0.101,2,13,2,7,75,96,5,87,90,95,87,92,90,"0K,01,02,03,04,05",6,Yes
P.S. 011 William T. Harris,3,3.0277777777777777,2.7777777777777777,2,40.744186,-74.000743,MANHATTAN,10011,PK,05,0.293,3,14,7,25,49,96,10,93,93,98,91,93,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 011 William T. Harris,4,3.040268456375839,3.0620689655172413,2,40.744186,-74.000743,MANHATTAN,10011,PK,05,0.293,3,14,7,25,49,96,10,93,93,98,91,93,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 011 William T. Harris,5,2.877049180327869,2.6885245901639343,2,40.744186,-74.000743,MANHATTAN,10011,PK,05,0.293,3,14,7,25,49,96,10,93,93,98,91,93,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 033 Chelsea Prep,3,3.25,2.791208791208791,2,40.749014,-74.000238,MANHATTAN,10001,PK,05,0.43,4,25,12,30,26,96,13,97,90,94,82,92,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 033 Chelsea Prep,4,3.193877551020408,3.0927835051546393,2,40.749014,-74.000238,MANHATTAN,10001,PK,05,0.43,4,25,12,30,26,96,13,97,90,94,82,92,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 033 Chelsea Prep,5,2.6808510638297873,2.702127659574468,2,40.749014,-74.000238,MANHATTAN,10001,PK,05,0.43,4,25,12,30,26,96,13,97,90,94,82,92,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 040 Augustus Saint-Gaudens,3,3.3684210526315788,3.096774193548387,2,40.735328,-73.981536,MANHATTAN,10003,PK,05,0.153,3,9,3,13,64,96,7,97,94,99,91,96,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 040 Augustus Saint-Gaudens,4,3.3,3.3636363636363638,2,40.735328,-73.981536,MANHATTAN,10003,PK,05,0.153,3,9,3,13,64,96,7,97,94,99,91,96,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 040 Augustus Saint-Gaudens,5,3.372340425531915,3.4731182795698925,2,40.735328,-73.981536,MANHATTAN,10003,PK,05,0.153,3,9,3,13,64,96,7,97,94,99,91,96,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 041 Greenwich Village,3,3.2636363636363637,3.0272727272727273,2,40.73545,-73.999094,MANHATTAN,10011,PK,05,0.066,2,9,2,10,69,97,2,95,96,98,92,95,98,"PK,0K,01,02,03,04,05",7,Yes
P.S. 041 Greenwich Village,4,3.4504504504504503,3.4594594594594597,2,40.73545,-73.999094,MANHATTAN,10011,PK,05,0.066,2,9,2,10,69,97,2,95,96,98,92,95,98,"PK,0K,01,02,03,04,05",7,Yes
P.S. 041 Greenwich Village,5,3.339622641509434,3.2149532710280373,2,40.73545,-73.999094,MANHATTAN,10011,PK,05,0.066,2,9,2,10,69,97,2,95,96,98,92,95,98,"PK,0K,01,02,03,04,05",7,Yes
P.S. 042 Benjamin Altman,3,3.292307692307692,2.806201550387597,2,40.716126,-73.990826,MANHATTAN,10002,PK,05,0.785,27,93,0,4,2,98,2,91,94,96,89,85,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 042 Benjamin Altman,4,3.393700787401575,2.717741935483871,2,40.716126,-73.990826,MANHATTAN,10002,PK,05,0.785,27,93,0,4,2,98,2,91,94,96,89,85,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 042 Benjamin Altman,5,3.2,2.5859375,2,40.716126,-73.990826,MANHATTAN,10002,PK,05,0.785,27,93,0,4,2,98,2,91,94,96,89,85,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 051 Elias Howe,3,2.6222222222222222,2.1777777777777776,2,40.761487,-73.995825,MANHATTAN,10036,0K,05,0.626,9,24,12,42,20,94,15,90,95,97,91,89,97,"0K,01,02,03,04,05",6,Yes
P.S. 051 Elias Howe,4,2.12,2.2708333333333335,2,40.761487,-73.995825,MANHATTAN,10036,0K,05,0.626,9,24,12,42,20,94,15,90,95,97,91,89,97,"0K,01,02,03,04,05",6,Yes
P.S. 051 Elias Howe,5,2.4,2.2,2,40.761487,-73.995825,MANHATTAN,10036,0K,05,0.626,9,24,12,42,20,94,15,90,95,97,91,89,97,"0K,01,02,03,04,05",6,Yes
P.S. 059 Beekman Hill International,3,3.2061855670103094,2.9473684210526314,2,40.759248,-73.967204,MANHATTAN,10019,0K,05,0.075,4,15,2,13,59,96,6,87,87,95,76,94,89,"0K,01,02,03,04,05",6,Yes
P.S. 059 Beekman Hill International,4,3.4361702127659575,3.217391304347826,2,40.759248,-73.967204,MANHATTAN,10019,0K,05,0.075,4,15,2,13,59,96,6,87,87,95,76,94,89,"0K,01,02,03,04,05",6,Yes
P.S. 059 Beekman Hill International,5,3.340659340659341,3.21978021978022,2,40.759248,-73.967204,MANHATTAN,10019,0K,05,0.075,4,15,2,13,59,96,6,87,87,95,76,94,89,"0K,01,02,03,04,05",6,Yes
P.S. 77 Lower Lab School,3,3.7903225806451615,3.5483870967741935,2,40.785018,-73.95042,MANHATTAN,10128,0K,05,0.069,0,27,0,5,59,97,1,93,96,98,93,95,99,"0K,01,02,03,04,05",6,Yes
P.S. 77 Lower Lab School,4,3.783333333333333,3.8333333333333335,2,40.785018,-73.95042,MANHATTAN,10128,0K,05,0.069,0,27,0,5,59,97,1,93,96,98,93,95,99,"0K,01,02,03,04,05",6,Yes
P.S. 77 Lower Lab School,5,3.730769230769231,3.7115384615384617,2,40.785018,-73.95042,MANHATTAN,10128,0K,05,0.069,0,27,0,5,59,97,1,93,96,98,93,95,99,"0K,01,02,03,04,05",6,Yes
P.S. 89,3,3.392156862745098,3.0208333333333335,2,40.71701,-74.013967,MANHATTAN,10282,PK,05,0.068,4,16,2,14,62,96,6,95,94,98,90,93,97,"PK,0K,01,02,03,04,05",7,Yes
P.S. 89,4,3.5254237288135593,3.4745762711864407,2,40.71701,-74.013967,MANHATTAN,10282,PK,05,0.068,4,16,2,14,62,96,6,95,94,98,90,93,97,"PK,0K,01,02,03,04,05",7,Yes
P.S. 89,5,3.425531914893617,3.217391304347826,2,40.71701,-74.013967,MANHATTAN,10282,PK,05,0.068,4,16,2,14,62,96,6,95,94,98,90,93,97,"PK,0K,01,02,03,04,05",7,Yes
